,Sex,Age,Choice
0,Female,20,YES
1,Male,20,YES
2,Male,20,YES
3,Male,20,YES
4,Female,20,YES
5,Female,20,YES
6,Female,20,IDK
7,Male,20,YES
8,Female,40,NO
9,Female,40,YES
10,Male,30,YES
11,Male,40,YES
12,Female,20,YES
13,Male,20,NO
14,Female,40,NO
15,Female,40,NO
16,Male,50,NO
17,Female,20,IDK
18,Male,20,YES
19,Female,20,NO
20,Female,20,NO
21,Male,60,NO
22,Male,50,NO
23,Female,40,IDK
24,Female,20,YES
25,Male,20,IDK
26,Male,30,YES
27,Female,30,YES
28,Male,20,NO
29,Female,20,IDK
30,Female,30,NO
31,Female,30,NO
32,Female,30,NO
33,Female,30,NO
34,Male,30,YES
35,Male,20,YES
36,Female,20,YES
37,Female,20,YES
38,Female,20,YES
39,Male,20,YES
40,Male,40,NO
41,Female,20,NO
42,Female,20,IDK
43,Female,20,IDK
44,Female,20,YES
45,Female,20,YES
46,Female,30,IDK
47,Female,30,IDK
48,Female,20,IDK
49,Female,60,NO
50,Female,60,NO
51,Female,50,NO
52,Female,30,NO
53,Female,30,NO
54,Female,30,YES
55,Female,30,YES
56,Female,20,NO
57,Male,30,NO
58,Female,20,NO
59,Female,20,NO
60,Male,30,YES
61,Male,30,IDK
62,Male,30,IDK
63,Male,20,YES
64,Female,20,YES
65,Male,20,YES
66,Female,20,YES
67,Male,20,NO
68,Male,20,YES
69,Female,20,YES
70,Female,20,YES
71,Male,20,YES
72,Male,20,NO
73,Male,20,IDK
74,Male,30,NO
75,Male,20,YES
76,Male,20,YES
77,Male,20,NO
78,Female,20,NO
79,Male,30,NO
80,Female,30,NO
81,Male,30,IDK
82,Female,30,NO
83,Male,20,YES
84,Female,20,IDK
85,Female,20,YES
86,Female,20,NO
87,Male,20,YES
88,Male,30,NO
89,Male,20,YES
90,Female,30,NO
91,Male,30,IDK
92,Female,30,NO
93,Female,30,NO
94,Male,20,YES
95,Female,50,YES
96,Male,40,NO
97,Male,40,YES
98,Female,30,NO
99,Male,30,NO
100,Male,30,IDK
101,Female,40,NO
102,Female,30,NO
103,Male,30,YES
104,Male,30,YES
